accountsservice 26.27.3-1.1
ttf-opensans 3.003-1
ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.2.7-1.1
unzip 6.0-23.1
upower 1.91.3-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vim 9.2.0849-1.1
visual-studio-code-bin 1.134.0-1
vlc-plugins-all 3.0.23_2-11.1
vulkan-icd-loader 1.4.357.0-1.1
vulkan-radeon 3:26.2.1-1
waybar 0.15.0-2.1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wpa_supplicant 2:2.12-1.1
xdg-user-dirs 0.20-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 7.1.1-1.1
xl2tpd 1.3.20-1.1
yazi 26.8.15-1.1
zoxide 0.10.0-1.1
